종목코드,시가총액,거래소,섹터
cof,49936600000.0,NYSE,금융
crh,49525200000.0,NYSE,소재
gm,49191800000.0,NYSE,소비순환재
met,48948800000.0,NYSE,금융
f,48796000000.0,NYSE,소비순환재
bsbr,48707200000.0,NYSE,금융
ajg,48551600000.0,NYSE,금융
well,48328300000.0,NYSE,부동산
afl,48211300000.0,NYSE,금융
carr,48203200000.0,NYSE,산업
aig,47563200000.0,NYSE,금융
sq,47500100000.0,NYSE,산업
pcg,47080900000.0,NYSE,유틸리티
sre,47029700000.0,NYSE,유틸리티
hlt,46695200000.0,NYSE,소비순환재
fmx,46642200000.0,NYSE,필수소비재
spg,46535900000.0,NYSE,부동산
ew,46207500000.0,NYSE,헬스케어
stm,45682600000.0,NYSE,기술
cm,44822100000.0,NYSE,금융
tak,44776100000.0,NYSE,헬스케어
msci,44737900000.0,NYSE,산업
azo,44710100000.0,NYSE,소비순환재
stz,44406100000.0,NYSE,필수소비재
hes,44279000000.0,NYSE,에너지
vlo,44258900000.0,NYSE,에너지
abev,44100600000.0,NYSE,필수소비재
mfg,43675100000.0,NYSE,금융
tel,43664500000.0,NYSE,산업
trv,43507800000.0,NYSE,금융
et,43401900000.0,NYSE,에너지
nue,42785800000.0,NYSE,소재
len,42380300000.0,NYSE,소비순환재
wmb,42370600000.0,NYSE,에너지
iqv,42226800000.0,NYSE,헬스케어
len.b,41647439520.0,NYSE,소비순환재
su,41581400000.0,NYSE,에너지
o,41567700000.0,NYSE,부동산
kvue,41229800000.0,NYSE,필수소비재
cor,41222300000.0,NYSE,헬스케어
gww,41131300000.0,NYSE,산업
kmb,41063200000.0,NYSE,필수소비재
oke,40906700000.0,NYSE,에너지
dlr,40757800000.0,NYSE,부동산
a,40736400000.0,NYSE,헬스케어
lng,40672500000.0,NYSE,에너지
trp,40536300000.0,NYSE,에너지
lyg,40204500000.0,NYSE,금융
mfc,40053800000.0,NYSE,금융
wds,40044600000.0,NYSE,에너지
bk,40030300000.0,NYSE,금융
lhx,39921000000.0,NYSE,산업
bbdo,39666375000.0,NYSE,금융
cnc,39643100000.0,NYSE,헬스케어
nu,39586700000.0,NYSE,금융
d,39329400000.0,NYSE,유틸리티
ferg,39287700000.0,NYSE,소비순환재
jci,39234000000.0,NYSE,산업
kmi,39209700000.0,NYSE,에너지
alc,38528800000.0,NYSE,헬스케어
adm,38520800000.0,NYSE,필수소비재
dow,38464600000.0,NYSE,소재
wcn,38458400000.0,NYSE,산업
amp,38437300000.0,NYSE,금융
hsy,38126600000.0,NYSE,필수소비재
ame,38056400000.0,NYSE,산업
hln,38000300000.0,NYSE,헬스케어
lvs,37620600000.0,NYSE,소비순환재
pru,37439300000.0,NYSE,금융
pltr,37361700000.0,NYSE,기술
bbd,37247600000.0,NYSE,금융
gis,36992400000.0,NYSE,필수소비재
syy,36884700000.0,NYSE,필수소비재
mplx,36764700000.0,NYSE,에너지
all,36631000000.0,NYSE,금융
yum,36625100000.0,NYSE,소비순환재
spot,36620200000.0,NYSE,기술
otis,36616400000.0,NYSE,산업
ares,36533500000.0,NYSE,금융
bce,35926400000.0,NYSE,기술
rok,35603500000.0,NYSE,산업
fis,35590500000.0,NYSE,기술
ppg,35263900000.0,NYSE,소재
it,35163400000.0,NYSE,기술
cmi,33957800000.000004,NYSE,소비순환재
exr,33874199999.999996,NYSE,부동산
ctva,33770600000.0,NYSE,소재
rcl,33179900000.0,NYSE,소비순환재
dd,33083199999.999996,NYSE,소재
gpn,33069300000.000004,NYSE,산업
vici,32980900000.0,NYSE,부동산
nem,32896800000.000004,NYSE,소재
kr,32884800000.000004,NYSE,필수소비재
hal,32356100000.0,NYSE,에너지
gold,31757400000.0,NYSE,소재
ed,31404600000.0,NYSE,유틸리티
cve,31394600000.0,NYSE,에너지
pwr,31352500000.0,NYSE,산업
ir,31307000000.0,NYSE,산업
veev,30998700000.0,NYSE,헬스케어
puk,30865000000.0,NYSE,금융
lyb,30840300000.0,NYSE,소재
mlm,30836200000.0,NYSE,소재
wit,30538800000.0,NYSE,기술
peg,30471900000.0,NYSE,유틸리티
efx,30470300000.0,NYSE,산업
slf,30438600000.0,NYSE,금융
bcs,30347800000.0,NYSE,금융
cht,30308300000.0,NYSE,기술
vmc,30163600000.0,NYSE,소재
dg,29840700000.0,NYSE,소비순환재
hpq,29816300000.0,NYSE,기술
hubs,29218900000.0,NYSE,기술
dvn,28992000000.0,NYSE,에너지
cpng,28944300000.0,NYSE,소비순환재
pkx,28866300000.0,NYSE,소재
fico,28766800000.0,NYSE,기술
rkt,28703400000.0,NYSE,금융
rblx,28517300000.0,NYSE,기술
cbre,28373200000.0,NYSE,부동산
net,27956400000.0,NYSE,기술
snap,27873500000.0,NYSE,기술
ntr,27857900000.0,NYSE,소재
keys,27847800000.0,NYSE,기술
db,27612800000.0,NYSE,금융
xyl,27569700000.0,NYSE,산업
eix,27421300000.0,NYSE,유틸리티
bf.a,27362320000.0,NYSE,필수소비재
aem,27209100000.0,NYSE,소재
bf.b,27157900000.0,NYSE,필수소비재
avb,26588100000.0,NYSE,부동산
wec,26550100000.0,NYSE,유틸리티
mtd,26301600000.0,NYSE,헬스케어
wst,26053200000.0,NYSE,헬스케어
glw,25979200000.0,NYSE,기술
dal,25886500000.0,NYSE,산업
tu,25884500000.0,NYSE,기술
ftv,25876100000.0,NYSE,산업
awk,25699100000.0,NYSE,유틸리티
tlk,25518400000.0,NYSE,기술
zbh,25433000000.0,NYSE,헬스케어
wy,25382100000.0,NYSE,부동산
aptv,25378400000.0,NYSE,소비순환재
rmd,25302800000.0,NYSE,헬스케어
gib,24997100000.0,NYSE,기술
pins,24978200000.0,NYSE,기술
nwg,24971900000.0,NYSE,금융
cah,24844000000.0,NYSE,헬스케어
hei,24729700000.0,NYSE,산업
hei.a,24713036940.0,NYSE,산업
grmn,24593700000.0,NYSE,기술
ec,24505600000.0,NYSE,에너지
qsr,24378800000.0,NYSE,소비순환재
ccl,24218100000.0,NYSE,소비순환재
br,24205900000.0,NYSE,산업
hig,24175900000.0,NYSE,금융
cqp,24100300000.0,NYSE,에너지
stt,23902900000.0,NYSE,금융
rci,23635600000.0,NYSE,기술
cuk,23416020000.0,NYSE,소비순환재
chd,23297900000.0,NYSE,필수소비재
rjf,23259700000.0,NYSE,금융
eqr,23224000000.0,NYSE,부동산
ix,23064500000.0,NYSE,금융
mt,22863500000.0,NYSE,소재
se,22852600000.0,NYSE,기술
mtb,22749800000.0,NYSE,금융
dte,22742100000.0,NYSE,유틸리티
wab,22735300000.0,NYSE,산업
tef,22523400000.0,NYSE,기술
wpm,22349800000.0,NYSE,소재
hwm,22283600000.0,NYSE,산업
nvr,22254600000.0,NYSE,소비순환재
phm,22253700000.0,NYSE,소비순환재
hpe,22074000000.0,NYSE,기술
are,22029500000.0,NYSE,부동산
teck,21980400000.0,NYSE,소재
ste,21721200000.0,NYSE,헬스케어
es,21560400000.0,NYSE,유틸리티
lyv,21558500000.0,NYSE,소비순환재
dov,21516500000.0,NYSE,산업
fnv,21288800000.0,NYSE,소재
tme,21238600000.0,NYSE,기술
umc,21158000000.0,NYSE,기술
rol,21137900000.0,NYSE,산업
moh,21064400000.0,NYSE,헬스케어
tdy,21058100000.0,NYSE,기술
owl,20992700000.0,NYSE,금융
invh,20873900000.0,NYSE,부동산
cnhi,20725000000.0,NYSE,산업
iff,20670000000.0,NYSE,필수소비재
bldr,20591500000.0,NYSE,소비순환재
phg,20564900000.0,NYSE,헬스케어
ts,20517730105.0,NYSE,에너지
irm,20433400000.0,NYSE,부동산
cpay,20405600000.0,NYSE,산업
beke,20311700000.0,NYSE,부동산
vlto,20261300000.0,NYSE,산업
bro,20237800000.0,NYSE,금융
fts,20092000000.0,NYSE,유틸리티
vtr,20054700000.0,NYSE,부동산
ppl,19976100000.0,NYSE,유틸리티
kof,19882300000.0,NYSE,필수소비재
dri,19767700000.0,NYSE,소비순환재
bax,19613100000.0,NYSE,헬스케어
wat,19466400000.0,NYSE,헬스케어
gpc,19417200000.0,NYSE,소비순환재
trgp,19369900000.0,NYSE,에너지
lh,19296900000.0,NYSE,헬스케어
nok,19262500000.0,NYSE,기술
ctra,19195900000.0,NYSE,에너지
k,19150300000.0,NYSE,필수소비재
tsn,19094100000.0,NYSE,필수소비재
aee,19021400000.0,NYSE,유틸리티
pba,18896600000.0,NYSE,에너지
mkl,18769000000.0,NYSE,금융
expd,18493500000.0,NYSE,산업
mkc.v,18363928000.0,NYSE,필수소비재
mkc,18359300000.0,NYSE,필수소비재
vrt,18320600000.0,NYSE,산업
wrb,18236700000.0,NYSE,금융
viv,18199300000.0,NYSE,기술
ball,18136100000.0,NYSE,소재
fds,18122400000.0,NYSE,산업
iot,18031700000.0,NYSE,기술
rf,18024700000.0,NYSE,금융
wlk,17934600000.0,NYSE,소재
clx,17689600000.0,NYSE,필수소비재
hubb,17637900000.0,NYSE,산업
tyl,17613000000.0,NYSE,기술
hrl,17559000000.0,NYSE,필수소비재
yumc,17551400000.0,NYSE,소비순환재
ebr,17422200000.0,NYSE,유틸리티
luv,17215800000.0,NYSE,산업
ato,17210700000.0,NYSE,유틸리티
sqm,17201100000.0,NYSE,소재
deck,17199300000.0,NYSE,소비순환재
zto,17174700000.0,NYSE,산업
epam,17156700000.0,NYSE,기술
ccj,17156400000.000002,NYSE,에너지
omc,17123300000.0,NYSE,소비순환재
alb,16955200000.0,NYSE,소재
cms,16942700000.0,NYSE,유틸리티
jhx,16928700000.0,NYSE,소재
mga,16915099999.999998,NYSE,소비순환재
ce,16912800000.0,NYSE,소재
wso,16879200000.0,NYSE,산업
bby,16861200000.0,NYSE,소비순환재
wso.b,16858988523.0,NYSE,산업
ihg,16696200000.0,NYSE,소비순환재
sui,16632099999.999998,NYSE,부동산
iex,16419099999.999998,NYSE,산업
j,16358000000.0,NYSE,산업
jbl,16300200000.0,NYSE,기술
avy,16280200000.0,NYSE,소재
kb,16119200000.0,NYSE,금융
dt,16100400000.0,NYSE,기술
rs,16073600000.0,NYSE,소재
ess,15913900000.0,NYSE,부동산
lii,15904700000.0,NYSE,산업
eqt,15902100000.0,NYSE,에너지
syf,15803200000.0,NYSE,금융
aer,15784100000.0,NYSE,산업
txt,15762800000.0,NYSE,산업
nio,15742400000.0,NYSE,소비순환재
bam,15733900000.0,NYSE,금융
maa,15689800000.0,NYSE,부동산
lw,15665200000.0,NYSE,필수소비재
shg,15660400000.0,NYSE,금융
u,15539000000.0,NYSE,기술
l,15536000000.0,NYSE,금융
dgx,15502500000.0,NYSE,헬스케어
cfg,15450600000.0,NYSE,금융
avtr,15441900000.0,NYSE,헬스케어
eg,15342000000.0,NYSE,금융
mgm,15261900000.0,NYSE,소비순환재
sna,15245000000.0,NYSE,산업
csl,15210200000.0,NYSE,소비순환재
cf,15189000000.0,NYSE,소재
suz,15042000000.0,NYSE,소재
swk,15039800000.0,NYSE,산업
mas,15037100000.0,NYSE,소비순환재
gddy,14982400000.0,NYSE,기술
ldos,14883700000.0,NYSE,기술
ben,14733700000.0,NYSE,금융
bg,14666800000.0,NYSE,필수소비재
ggg,14644100000.0,NYSE,산업
pkg,14600700000.0,NYSE,소재
bip,14434400000.0,NYSE,필수소비재
rto,14419700000.0,NYSE,산업
rpm,14381100000.0,NYSE,소재
dpz,14379000000.0,NYSE,소비순환재
wpc,14172100000.0,NYSE,부동산
bap,14150700000.0,NYSE,금융
mro,14139600000.0,NYSE,에너지
tko,14112500000.0,NYSE,소비순환재
uhal,14078400000.0,NYSE,산업
path,14061400000.0,NYSE,기술
amcr,13933100000.0,NYSE,소재
fnf,13885500000.0,NYSE,금융
vst,13772900000.0,NYSE,유틸리티
twlo,13735700000.0,NYSE,기술
cag,13698600000.0,NYSE,필수소비재
crbg,13668000000.0,NYSE,금융
nmr,13546600000.0,NYSE,금융
rvty,13489700000.0,NYSE,헬스케어
key,13482100000.0,NYSE,금융
h,13450300000.0,NYSE,소비순환재
sjm,13414500000.0,NYSE,필수소비재
tru,13309100000.0,NYSE,산업
aci,13245500000.0,NYSE,필수소비재
tap.a,13227481000.0,NYSE,필수소비재
kim,13209500000.0,NYSE,부동산
oc,13173900000.0,NYSE,소비순환재
els,13148100000.0,NYSE,부동산
amh,13019500000.0,NYSE,부동산
wsm,12942572760.0,NYSE,소비순환재
aes,12890400000.0,NYSE,유틸리티
gfi,12889300000.0,NYSE,소재
cpb,12886900000.0,NYSE,필수소비재
gfl,12768200000.0,NYSE,산업
xpev,12620200000.0,NYSE,소비순환재
udr,12594700000.0,NYSE,부동산
acm,12569300000.0,NYSE,산업
burl,12548900000.0,NYSE,소비순환재
agr,12535200000.0,NYSE,유틸리티
ip,12508500000.0,NYSE,소재
ipg,12501300000.0,NYSE,소비순환재
tap,12459700000.0,NYSE,필수소비재
payc,12450400000.0,NYSE,기술
aos,12260500000.0,NYSE,산업
fms,12223600000.0,NYSE,헬스케어
aeg,12221800000.0,NYSE,금융
rba,12196200000.0,NYSE,산업
kmx,12176200000.0,NYSE,소비순환재
crl,12126600000.0,NYSE,헬스케어
edu,12100000000.0,NYSE,아카데믹 및 교육 서비스
